Proceed forward by exactly 0.2 m.,"[("MOVE"|0.2)]"
Slide forward by a small stretch of 200 mm.,"[("MOVE"|0.2)]"
Make a minor move of 0.219 yd forward.,"[("MOVE"|0.2)]"
Push onwards for 7.87 inches.,"[("MOVE"|0.2)]"
Take a small step of 0.656 ft forward.,"[("MOVE"|0.2)]"
Move slightly ahead by 20 cm.,"[("MOVE"|0.2)]"
Shift a short distance forward by 200 millimeters.,"[("MOVE"|0.2)]"
Propel a bit forward by two-tenths of a meter.,"[("MOVE"|0.2)]"
Edge forward by a measure of 7.87 in.,"[("MOVE"|0.2)]"
Stride a small length of 0.219 yards forward.,"[("MOVE"|0.2)]"
Advance a tiny bit by 0.656 feet.,"[("MOVE"|0.2)]"
Move a modest distance of 20 centimeters forward.,"[("MOVE"|0.2)]"
Take a minor advance of 200 mm.,"[("MOVE"|0.2)]"
Slide a bit forward by 7.87 inches.,"[("MOVE"|0.2)]"
Propel yourself a short span of 0.219 yds.,"[("MOVE"|0.2)]"
Creep up just a bit by 0.656 ft forward.,"[("MOVE"|0.2)]"
Move forward by 0.25 meters,"[("MOVE"|0.25)]"
Advance by a quarter meter.,"[("MOVE"|0.25)]"
Progress ahead by 0.25 meters.,"[("MOVE"|0.25)]"
Proceed by a quarter of a meter.,"[("MOVE"|0.25)]"
Move onward 0.25 meters.,"[("MOVE"|0.25)]"
Step forward by 0.25 meters.,"[("MOVE"|0.25)]"
Move ahead by a quarter meter.,"[("MOVE"|0.25)]"
Increment by 0.25 meters.,"[("MOVE"|0.25)]"
Proceed by 25 centimeters.,"[("MOVE"|0.25)]"
Advance by a quarter of a meter.,"[("MOVE"|0.25)]"
Step ahead by 0.25 meters.,"[("MOVE"|0.25)]"
Progress forward by 0.25 meters.,"[("MOVE"|0.25)]"
Move onward a quarter meter.,"[("MOVE"|0.25)]"
Take a quarter-meter step forward.,"[("MOVE"|0.25)]"
Advance by 25 centimeters.,"[("MOVE"|0.25)]"
Proceed by a quarter meter.,"[("MOVE"|0.25)]"
Take a 0.25-meter stride.,"[("MOVE"|0.25)]"
Move ahead by 25 centimeters.,"[("MOVE"|0.25)]"
Progress forward by a quarter meter.,"[("MOVE"|0.25)]"
Increment by 25 centimeters.,"[("MOVE"|0.25)]"
Step forward by 25 centimeters.,"[("MOVE"|0.25)]"
Advance by a quarter meter.,"[("MOVE"|0.25)]"
Move onward by 25 centimeters.,"[("MOVE"|0.25)]"
Proceed by 0.25 meters.,"[("MOVE"|0.25)]"
Take a quarter-meter step.,"[("MOVE"|0.25)]"
Progress ahead by 25 centimeters.,"[("MOVE"|0.25)]"
Step ahead by a quarter meter.,"[("MOVE"|0.25)]"
Advance by 0.25 meters.,"[("MOVE"|0.25)]"
Move forward by 25 centimeters.,"[("MOVE"|0.25)]"
Proceed by one-fourth of a meter.,"[("MOVE"|0.25)]"
Take a 0.25-meter stride forward.,"[("MOVE"|0.25)]"
Advance 25 centimeters ahead.,"[("MOVE"|0.25)]"
Proceed forwards for a quarter of a meter.,"[("MOVE"|0.25)]"
Make a forward movement of 250 millimeters.,"[("MOVE"|0.25)]"
Go forward by 0.25 m.,"[("MOVE"|0.25)]"
Shift ahead precisely 25 cm.,"[("MOVE"|0.25)]"
Move ahead by one-fourth of a meter.,"[("MOVE"|0.25)]"
Glide forward for 250 mm.,"[("MOVE"|0.25)]"
Propel yourself 0.25 meters forward.,"[("MOVE"|0.25)]"
"Navigate forward, covering a distance of 25 centimeters.","[("MOVE"|0.25)]"
Progress forward by a distance of 0.25 m.,"[("MOVE"|0.25)]"
Travel forward for exactly one-quarter meter.,"[("MOVE"|0.25)]"
Step forward by 25 cm.,"[("MOVE"|0.25)]"
Inch forward by a span of 250 millimeters.,"[("MOVE"|0.25)]"
Push forward for a measure of 0.25 meters.,"[("MOVE"|0.25)]"
Advance a quarter meter ahead.,"[("MOVE"|0.25)]"
Move up by 25 centimeters.,"[("MOVE"|0.25)]"
Slide forward by a length of 0.25 m.,"[("MOVE"|0.25)]"
Drift forward for 250 mm.,"[("MOVE"|0.25)]"
Proceed by moving 0.25 meters ahead.,"[("MOVE"|0.25)]"
March forward for 25 centimeters.,"[("MOVE"|0.25)]"
Walk forward a distance of one-fourth of a meter.,"[("MOVE"|0.25)]"
Move forward by two hundred and fifty millimeters.,"[("MOVE"|0.25)]"
Creep forward by 0.25 m.,"[("MOVE"|0.25)]"
Shift forward a space of 25 cm.,"[("MOVE"|0.25)]"
Propel forward precisely 250 mm.,"[("MOVE"|0.25)]"
Navigate a quarter of a meter forward.,"[("MOVE"|0.25)]"
Progress by 25 centimeters ahead.,"[("MOVE"|0.25)]"
Travel a distance of 0.25 meters forward.,"[("MOVE"|0.25)]"
Step a quarter meter in the forward direction.,"[("MOVE"|0.25)]"
Inch along 25 cm forward.,"[("MOVE"|0.25)]"
Push towards a 250 millimeters advancement.,"[("MOVE"|0.25)]"
Advance forward by a fraction of 0.25 meters.,"[("MOVE"|0.25)]"
Move towards 25 centimeters ahead.,"[("MOVE"|0.25)]"
Slide exactly one-quarter meter forward.,"[("MOVE"|0.25)]"
Drift a span of 250 mm forward.,"[("MOVE"|0.25)]"
Proceed to move 25 cm ahead.,"[("MOVE"|0.25)]"
March a precise distance of 0.25 m forward.,"[("MOVE"|0.25)]"
Walk towards a forward movement of one-fourth of a meter.,"[("MOVE"|0.25)]"
Creep up by 250 millimeters.,"[("MOVE"|0.25)]"
Shift towards moving 0.25 meters ahead.,"[("MOVE"|0.25)]"
Propel yourself forward for 25 cm.,"[("MOVE"|0.25)]"
Navigate forward by exactly a quarter meter.,"[("MOVE"|0.25)]"
Progress by moving 250 mm forward.,"[("MOVE"|0.25)]"
Travel forward precisely 25 centimeters.,"[("MOVE"|0.25)]"
Step towards a forward distance of 0.25 m.,"[("MOVE"|0.25)]"
Inch forward for a span of one-fourth of a meter.,"[("MOVE"|0.25)]"
Push forward to move 250 millimeters.,"[("MOVE"|0.25)]"
Advance by a distance of 25 cm forward.,"[("MOVE"|0.25)]"
Move precisely 0.25 meters ahead.,"[("MOVE"|0.25)]"
Slide forward by exactly a quarter of a meter.,"[("MOVE"|0.25)]"
Drift forward for a length of 25 cm.,"[("MOVE"|0.25)]"
Proceed forward by 250 mm.,"[("MOVE"|0.25)]"
March ahead by 0.25 m.,"[("MOVE"|0.25)]"
Walk a precise quarter meter forward.,"[("MOVE"|0.25)]"
Creep towards moving 25 centimeters ahead.,"[("MOVE"|0.25)]"
Shift forward for a distance of 250 millimeters.,"[("MOVE"|0.25)]"
Propel forward to a distance of one-fourth of a meter.,"[("MOVE"|0.25)]"
Navigate a precise 25 cm forward.,"[("MOVE"|0.25)]"
Progress by 0.25 meters in the forward direction.,"[("MOVE"|0.25)]"
Travel forward by exactly two hundred and fifty millimeters.,"[("MOVE"|0.25)]"
Move forward by 0.3 meters,"[("MOVE"|0.3)]"
Proceed ahead by 0.3 meters.,"[("MOVE"|0.3)]"
Advance by 0.3 meters.,"[("MOVE"|0.3)]"
Go forward by 0.3 meters.,"[("MOVE"|0.3)]"
Take a step forward of 0.3 meters.,"[("MOVE"|0.3)]"
Move ahead by 0.3 meters.,"[("MOVE"|0.3)]"
Progress by 0.3 meters.,"[("MOVE"|0.3)]"
Travel onward by 0.3 meters.,"[("MOVE"|0.3)]"
Continue by 0.3 meters.,"[("MOVE"|0.3)]"
Press on by 0.3 meters.,"[("MOVE"|0.3)]"
Propel forward by 0.3 meters.,"[("MOVE"|0.3)]"
Inch forward by 0.3 meters.,"[("MOVE"|0.3)]"
Proceed further by 0.3 meters.,"[("MOVE"|0.3)]"
March ahead by 0.3 meters.,"[("MOVE"|0.3)]"
Keep moving by 0.3 meters.,"[("MOVE"|0.3)]"
Traverse forward by 0.3 meters.,"[("MOVE"|0.3)]"
Push forward by 0.3 meters.,"[("MOVE"|0.3)]"
Go on by 0.3 meters.,"[("MOVE"|0.3)]"
Carry on by 0.3 meters.,"[("MOVE"|0.3)]"
Take a stride forward of 0.3 meters.,"[("MOVE"|0.3)]"
Step forward by 0.3 meters.,"[("MOVE"|0.3)]"
Move onwards by 0.3 meters.,"[("MOVE"|0.3)]"
Make progress by 0.3 meters.,"[("MOVE"|0.3)]"
Go forth by 0.3 meters.,"[("MOVE"|0.3)]"
Head forward by 0.3 meters.,"[("MOVE"|0.3)]"
Proceed onward by 0.3 meters.,"[("MOVE"|0.3)]"
Keep on by 0.3 meters.,"[("MOVE"|0.3)]"
Go further by 0.3 meters.,"[("MOVE"|0.3)]"
Walk forward by 0.3 meters.,"[("MOVE"|0.3)]"
Extend by 0.3 meters.,"[("MOVE"|0.3)]"
Continue ahead by 0.3 meters.,"[("MOVE"|0.3)]"
Advance 30 centimeters.,"[("MOVE"|0.3)]"
Proceed forward for 300 millimeters.,"[("MOVE"|0.3)]"
Go ahead by three-tenths of a meter.,"[("MOVE"|0.3)]"
Shift forward approximately 11.81 inches.,"[("MOVE"|0.3)]"
Make a movement of 0.3 m straight ahead.,"[("MOVE"|0.3)]"
Travel a distance of about 0.328 yards forward.,"[("MOVE"|0.3)]"
Move up by roughly 30 cm.,"[("MOVE"|0.3)]"
Navigate forward for a distance of 0.3 meters.,"[("MOVE"|0.3)]"
Propel yourself 300 mm in the forward direction.,"[("MOVE"|0.3)]"
Head forward by a span of 11.81 in.,"[("MOVE"|0.3)]"
Glide ahead for a length of 0.328 yd.,"[("MOVE"|0.3)]"
Take a step forward measuring 30 centimeters.,"[("MOVE"|0.3)]"
Edge forward by 0.3 m.,"[("MOVE"|0.3)]"
Progress forward about 300 millimeters.,"[("MOVE"|0.3)]"
Slide forward approximately 11.81 inches.,"[("MOVE"|0.3)]"
Creep ahead by 0.328 yards.,"[("MOVE"|0.3)]"
Inch forward by 30 cm.,"[("MOVE"|0.3)]"
Move ahead roughly 0.3 meters.,"[("MOVE"|0.3)]"
Push forward for 300 mm.,"[("MOVE"|0.3)]"
Advance by a measure of 11.81 in forward.,"[("MOVE"|0.3)]"
Step forward a distance of 0.328 yd.,"[("MOVE"|0.3)]"
Proceed by a length of 30 centimeters forward.,"[("MOVE"|0.3)]"
Make your way forward by 0.3 m.,"[("MOVE"|0.3)]"
Travel forward around 300 millimeters.,"[("MOVE"|0.3)]"
Shift ahead close to 11.81 inches.,"[("MOVE"|0.3)]"
Navigate approximately 0.328 yards ahead.,"[("MOVE"|0.3)]"
Propel towards the front by 30 cm.,"[("MOVE"|0.3)]"
Head in the forward direction for 0.3 meters.,"[("MOVE"|0.3)]"
Glide for a stretch of 300 mm ahead.,"[("MOVE"|0.3)]"
Take steps forward measuring 11.81 in.,"[("MOVE"|0.3)]"
Edge towards a distance of 0.328 yd forward.,"[("MOVE"|0.3)]"
Progress by a span of 30 centimeters.,"[("MOVE"|0.3)]"
Slide ahead for a length of 0.3 m.,"[("MOVE"|0.3)]"
Creep forward approximately 300 millimeters.,"[("MOVE"|0.3)]"
Inch ahead by around 11.81 inches.,"[("MOVE"|0.3)]"
Move up by about 0.328 yards.,"[("MOVE"|0.3)]"
Advance forward with a movement of 30 cm.,"[("MOVE"|0.3)]"
Push towards the front for 0.3 meters.,"[("MOVE"|0.3)]"
Step up approximately 300 mm.,"[("MOVE"|0.3)]"
Proceed forward by a distance of 11.81 in.,"[("MOVE"|0.3)]"
Make a forward movement of about 0.328 yd.,"[("MOVE"|0.3)]"
Travel a span of 30 centimeters ahead.,"[("MOVE"|0.3)]"
Shift forward for a measure of 0.3 m.,"[("MOVE"|0.3)]"
Navigate ahead roughly 300 millimeters.,"[("MOVE"|0.3)]"
Propel yourself forward by 11.81 inches.,"[("MOVE"|0.3)]"
Head towards a distance of 0.328 yards forward.,"[("MOVE"|0.3)]"
Glide forward for a stretch of 30 cm.,"[("MOVE"|0.3)]"
Take a forward step of 0.3 meters.,"[("MOVE"|0.3)]"
Edge ahead by around 300 mm.,"[("MOVE"|0.3)]"
Progress by a measure of 11.81 in forward.,"[("MOVE"|0.3)]"
Slide towards the front for 0.328 yd.,"[("MOVE"|0.3)]"
Creep forward a length of 30 centimeters.,"[("MOVE"|0.3)]"
Inch forward for a distance of 0.3 m.,"[("MOVE"|0.3)]"
Move ahead by approximately 300 millimeters.,"[("MOVE"|0.3)]"
Advance forward by close to 11.81 inches.,"[("MOVE"|0.3)]"
Push ahead for about 0.328 yards.,"[("MOVE"|0.3)]"
Step forward roughly 30 cm.,"[("MOVE"|0.3)]"
Proceed by a span of 0.3 meters.,"[("MOVE"|0.3)]"
Make your way ahead for 300 mm.,"[("MOVE"|0.3)]"
Travel forward approximately 11.81 in.,"[("MOVE"|0.3)]"
Move forward by 0.4 meters,"[("MOVE"|0.4)]"
Proceed ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Advance by 0.4 meters.,"[("MOVE"|0.4)]"
Move onward by 0.4 meters.,"[("MOVE"|0.4)]"
Go ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Progress by 0.4 meters.,"[("MOVE"|0.4)]"
Continue by 0.4 meters.,"[("MOVE"|0.4)]"
Travel forward by 0.4 meters.,"[("MOVE"|0.4)]"
Push forward by 0.4 meters.,"[("MOVE"|0.4)]"
Propel ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Shift forward by 0.4 meters.,"[("MOVE"|0.4)]"
March forward by 0.4 meters.,"[("MOVE"|0.4)]"
Proceed forth by 0.4 meters.,"[("MOVE"|0.4)]"
Navigate forward by 0.4 meters.,"[("MOVE"|0.4)]"
Press onward by 0.4 meters.,"[("MOVE"|0.4)]"
Step forward by 0.4 meters.,"[("MOVE"|0.4)]"
Head forward by 0.4 meters.,"[("MOVE"|0.4)]"
Forge ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Carry on by 0.4 meters.,"[("MOVE"|0.4)]"
Continue onward by 0.4 meters.,"[("MOVE"|0.4)]"
Propel forward by 0.4 meters.,"[("MOVE"|0.4)]"
Surge ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Drive forward by 0.4 meters.,"[("MOVE"|0.4)]"
Keep moving by 0.4 meters.,"[("MOVE"|0.4)]"
Go forth by 0.4 meters.,"[("MOVE"|0.4)]"
Walk forward by 0.4 meters.,"[("MOVE"|0.4)]"
Proceed straight by 0.4 meters.,"[("MOVE"|0.4)]"
Move onward by 0.4 meters.,"[("MOVE"|0.4)]"
Proceed ahead by 0.4 meters.,"[("MOVE"|0.4)]"
Take steps forward by 0.4 meters.,"[("MOVE"|0.4)]"
Traverse forward by 0.4 meters.,"[("MOVE"|0.4)]"
Advance 40 centimeters.,"[("MOVE"|0.4)]"
Proceed 0.4 m straight ahead.,"[("MOVE"|0.4)]"
Go ahead by 400 millimeters.,"[("MOVE"|0.4)]"
Move ahead for 1.31 feet.,"[("MOVE"|0.4)]"
Walk forward 15.75 inches.,"[("MOVE"|0.4)]"
Take a step forward of approximately 0.44 yards.,"[("MOVE"|0.4)]"
Shift your position forward by 400 mm.,"[("MOVE"|0.4)]"
Navigate 0.4 meters forward.,"[("MOVE"|0.4)]"
Propel yourself 1.31 ft forward.,"[("MOVE"|0.4)]"
Glide forward for 40 cm.,"[("MOVE"|0.4)]"
Progress by 0.4 m.,"[("MOVE"|0.4)]"
Advance nearly 1/3 of a meter.,"[("MOVE"|0.4)]"
Move up by four-tenths of a meter.,"[("MOVE"|0.4)]"
Slide forward approximately 15.75 in.,"[("MOVE"|0.4)]"
Propel forward by 400 millimeters.,"[("MOVE"|0.4)]"
Shift 0.44 yd ahead.,"[("MOVE"|0.4)]"
Edge forward by 40 centimeters.,"[("MOVE"|0.4)]"
Creep up by 0.4 meters.,"[("MOVE"|0.4)]"
Make your way forward 1.31 feet.,"[("MOVE"|0.4)]"
Proceed by 15.75 inches forward.,"[("MOVE"|0.4)]"
Advance by a measure of 0.4 m.,"[("MOVE"|0.4)]"
Nudge forward 400 mm.,"[("MOVE"|0.4)]"
Push ahead for 1.31 ft.,"[("MOVE"|0.4)]"
Transition forward by 40 cm.,"[("MOVE"|0.4)]"
Migrate forward a distance of 0.4 meters.,"[("MOVE"|0.4)]"
Inch forward by 400 millimeters.,"[("MOVE"|0.4)]"
Move 1.31 feet ahead.,"[("MOVE"|0.4)]"
Take a 15.75-inch step forward.,"[("MOVE"|0.4)]"
Progress forward by 0.44 yards.,"[("MOVE"|0.4)]"
Propel approximately 40 centimeters ahead.,"[("MOVE"|0.4)]"
Scoot forward 0.4 m.,"[("MOVE"|0.4)]"
Creep 400 mm ahead.,"[("MOVE"|0.4)]"
Drift forward by 1.31 feet.,"[("MOVE"|0.4)]"
Glide ahead 15.75 inches.,"[("MOVE"|0.4)]"
Shift forward roughly 0.44 yards.,"[("MOVE"|0.4)]"
Navigate a path 0.4 meters forward.,"[("MOVE"|0.4)]"
Advance by a short distance of 40 cm.,"[("MOVE"|0.4)]"
Move precisely 400 millimeters forward.,"[("MOVE"|0.4)]"
Propel your way forward by 1.31 ft.,"[("MOVE"|0.4)]"
Edge up by 15.75 in.,"[("MOVE"|0.4)]"
Shift your base forward 0.44 yd.,"[("MOVE"|0.4)]"
Travel forward by 40 centimeters.,"[("MOVE"|0.4)]"
Proceed directly ahead 0.4 meters.,"[("MOVE"|0.4)]"
Make a slight move forward of 400 mm.,"[("MOVE"|0.4)]"
"Advance a small distance, about 1.31 feet.","[("MOVE"|0.4)]"
"Take a minor step forward, 15.75 inches.","[("MOVE"|0.4)]"
"Move a fraction forward, approximately 0.44 yards.","[("MOVE"|0.4)]"
Glide a bit ahead by 40 cm.,"[("MOVE"|0.4)]"
Creep up subtly by 0.4 m.,"[("MOVE"|0.4)]"
Shift gently forward 400 millimeters.,"[("MOVE"|0.4)]"
"Propel a short span ahead, 1.31 ft.","[("MOVE"|0.4)]"
Edge slightly forward by 15.75 in.,"[("MOVE"|0.4)]"
